customer_id,debt_amount,payment_probability,recommended_strategy
51,9698.89,0.9287737,Soft reminder
52,7773.81,0.93708605,Soft reminder
53,9401.04,0.8190416,Soft reminder
54,8958.79,0.16698505,Aggressive collection
55,6019.21,0.8050156,Soft reminder
56,9226.55,0.7276696,Soft reminder
57,976.08,0.6967288,Standard follow-up
58,2040.23,0.63014144,Standard follow-up
59,547.75,0.8455699,Soft reminder
60,3320.77,0.5865443,Standard follow-up
61,3947.91,0.6197405,Standard follow-up
62,2786.36,0.73675954,Soft reminder
63,8304.5,0.7574489,Soft reminder
64,3631.86,0.4757102,Standard follow-up
65,2881.25,0.11037548,Aggressive collection
66,5472.69,0.2732376,Aggressive collection
67,1495.15,0.336774,Standard follow-up
68,8041.75,0.9026102,Soft reminder
69,838.05,0.6609417,Standard follow-up
70,9870.18,0.86155623,Soft reminder
71,7745.22,0.6757453,Standard follow-up
72,2067.29,0.9114497,Soft reminder
73,154.67,0.9535169,Soft reminder
74,8173.07,0.5696748,Standard follow-up
75,7097.89,0.22927557,Aggressive collection
76,7317.17,0.89233905,Soft reminder
77,7735.58,0.58989537,Standard follow-up
78,833.04,0.9661115,Soft reminder
79,3648.81,0.5704017,Standard follow-up
80,1247.1,0.8053082,Soft reminder
81,8644.72,0.71680295,Soft reminder
82,6270.65,0.46429935,Standard follow-up
83,3375.89,0.4778958,Standard follow-up
84,729.23,0.79473084,Soft reminder
85,3178.72,0.9389696,Soft reminder
86,3319.31,0.2818272,Aggressive collection
87,7323.1,0.7507291,Soft reminder
88,6411.82,0.24382092,Aggressive collection
89,8883.41,0.75209755,Soft reminder
90,4774.93,0.61298853,Standard follow-up
91,1283.98,0.35999557,Standard follow-up
92,7161.12,0.5880217,Standard follow-up
93,7631.77,0.18930282,Aggressive collection
94,5656.64,0.40418932,Standard follow-up
95,7732.58,0.81554025,Soft reminder
96,4988.58,0.4430342,Standard follow-up
97,5275.06,0.1610201,Aggressive collection
98,4332.66,0.5901763,Standard follow-up
99,351.65,0.19229424,Aggressive collection
100,1168.13,0.8264442,Soft reminder
101,411.15,0.19853568,Aggressive collection
102,6400.46,0.46854958,Standard follow-up
103,3212.12,0.3463711,Standard follow-up
104,5134.85,0.5152999,Standard follow-up
105,9084.91,0.7398338,Soft reminder
106,2567.99,0.6895791,Standard follow-up
107,4162.79,0.39864087,Standard follow-up
108,7579.96,0.45358062,Standard follow-up
109,2365.1,0.42539823,Standard follow-up
110,862.1,0.84120834,Soft reminder
111,2968.54,0.3997538,Standard follow-up
112,1696.09,0.76802975,Soft reminder
113,9304.01,0.14792971,Aggressive collection
114,8100.39,0.6382665,Standard follow-up
115,6370.7,0.38861966,Standard follow-up
116,8727.46,0.07771719,Aggressive collection
117,8056.35,0.21326412,Aggressive collection
118,1947.04,0.60817724,Standard follow-up
119,8936.33,0.7076378,Soft reminder
120,5439.49,0.55498046,Standard follow-up
121,8093.66,0.8294607,Soft reminder
122,8971.3,0.27321056,Aggressive collection
123,3248.23,0.24859113,Aggressive collection
124,1189.51,0.6940893,Standard follow-up
125,2356.56,0.744174,Soft reminder
126,4328.37,0.4294149,Standard follow-up
127,8198.35,0.7681763,Soft reminder
128,8621.23,0.19089745,Aggressive collection
129,168.83,0.91813755,Soft reminder
130,5156.4,0.6587926,Standard follow-up
131,4232.37,0.17426239,Aggressive collection
132,2298.87,0.59048563,Standard follow-up
133,1286.67,0.41120878,Standard follow-up
134,3442.39,0.36671138,Standard follow-up
135,9434.81,0.14529745,Aggressive collection
136,3299.71,0.584168,Standard follow-up
137,5236.03,0.33642432,Standard follow-up
138,7059.89,0.831899,Soft reminder
139,3699.93,0.72697204,Soft reminder
140,9720.64,0.91361684,Soft reminder
141,9628.23,0.72967136,Soft reminder
142,2592.64,0.800613,Soft reminder
143,5022.76,0.62085927,Standard follow-up
144,3078.7,0.8603434,Soft reminder
145,2919.92,0.9861994,Soft reminder
146,465.18,0.3998676,Standard follow-up
147,6134.69,0.15044881,Aggressive collection
148,5076.52,0.3059389,Standard follow-up
149,609.64,0.78427905,Soft reminder
150,2858.6,0.6169481,Standard follow-up
151,9091.83,0.56997615,Standard follow-up
152,2471.66,0.82026905,Soft reminder
153,1534.46,0.70519674,Soft reminder
154,4945.58,0.22841305,Aggressive collection
155,9857.94,0.14124216,Aggressive collection
156,2496.35,0.55461115,Standard follow-up
157,6754.14,0.74553543,Soft reminder
158,7640.03,0.5113038,Standard follow-up
159,2452.61,0.33359283,Standard follow-up
160,7309.34,0.120481215,Aggressive collection
161,3741.05,0.18730068,Aggressive collection
162,6359.83,0.89497733,Soft reminder
163,6371.94,0.7429604,Soft reminder
164,5404.17,0.6811714,Standard follow-up
165,993.87,0.68359005,Standard follow-up
166,8369.49,0.6275353,Standard follow-up
167,3275.72,0.7028,Soft reminder
168,1946.53,0.77349275,Soft reminder
169,503.67,0.84449154,Soft reminder
170,5949.84,0.518259,Standard follow-up
171,6807.89,0.19594015,Aggressive collection
172,264.22,0.095387004,Aggressive collection
173,5169.72,0.5673044,Standard follow-up
174,2342.31,0.6906605,Standard follow-up
175,6487.21,0.18012092,Aggressive collection
176,1826.23,0.36902246,Standard follow-up
177,6940.28,0.52120864,Standard follow-up
178,3928.68,0.3118044,Standard follow-up
179,9373.63,0.19993885,Aggressive collection
180,1461.46,0.7776348,Soft reminder
181,3476.56,0.31681708,Standard follow-up
182,1223.39,0.11963679,Aggressive collection
183,9254.47,0.9351136,Soft reminder
184,8785.66,0.58678406,Standard follow-up
185,2653.62,0.22154902,Aggressive collection
186,6633.84,0.42128938,Standard follow-up
187,8190.5,0.6946073,Standard follow-up
188,5596.49,0.14105482,Aggressive collection
189,5343.54,0.45017955,Standard follow-up
190,2494.34,0.14344957,Aggressive collection
191,1021.72,0.7409915,Soft reminder
192,8982.44,0.52268904,Standard follow-up
193,9014.14,0.24813046,Aggressive collection
194,6367.7,0.6446527,Standard follow-up
195,3456.39,0.7454531,Soft reminder
196,3557.17,0.33265746,Standard follow-up
197,7286.96,0.8054148,Soft reminder
198,8981.39,0.20755588,Aggressive collection
199,8882.16,0.3550165,Standard follow-up
200,7820.77,0.1261848,Aggressive collection
201,6456.11,0.5327523,Standard follow-up
202,932.99,0.83459103,Soft reminder
203,1700.12,0.82927126,Soft reminder
204,8995.69,0.7754899,Soft reminder
205,6103.65,0.4068869,Standard follow-up
206,191.05,0.9017668,Soft reminder
207,1104.57,0.3257785,Standard follow-up
208,6668.67,0.8079835,Soft reminder
209,150.11,0.9254372,Soft reminder
210,1692.0,0.28775752,Aggressive collection
211,5532.46,0.15406188,Aggressive collection
212,6949.76,0.509414,Standard follow-up
213,6554.42,0.55259836,Standard follow-up
214,2320.27,0.7837927,Soft reminder
215,7150.57,0.7053537,Soft reminder
216,2448.77,0.23067218,Aggressive collection
217,3321.46,0.47680372,Standard follow-up
218,7490.26,0.22689264,Aggressive collection
219,6531.37,0.23504475,Aggressive collection
220,8507.31,0.3262574,Standard follow-up
221,6610.37,0.54282343,Standard follow-up
222,5726.26,0.39845756,Standard follow-up
223,1027.38,0.60338515,Standard follow-up
224,3740.39,0.2808598,Aggressive collection
225,2725.5,0.46393406,Standard follow-up
226,2515.5,0.31906798,Standard follow-up
227,9732.8,0.23143937,Aggressive collection
228,3991.67,0.23087758,Aggressive collection
229,8931.26,0.14315772,Aggressive collection
230,6348.27,0.48556143,Standard follow-up
231,7968.63,0.5720948,Standard follow-up
232,5076.11,0.20112388,Aggressive collection
233,5811.35,0.48189604,Standard follow-up
234,4975.93,0.4367263,Standard follow-up
235,2032.91,0.15971355,Aggressive collection
236,7252.28,0.29727688,Aggressive collection
237,2879.65,0.2141453,Aggressive collection
238,340.73,0.8328806,Soft reminder
239,6490.18,0.31695473,Standard follow-up
240,1853.4,0.09681751,Aggressive collection
241,9410.54,0.09008512,Aggressive collection
242,9543.89,0.2643666,Aggressive collection
243,9157.16,0.56230175,Standard follow-up
244,3764.57,0.44100082,Standard follow-up
245,253.02,0.14673212,Aggressive collection
246,9290.35,0.40127292,Standard follow-up
247,4339.02,0.7555102,Soft reminder
248,9669.88,0.58321375,Standard follow-up
249,9639.84,0.75136703,Soft reminder
250,8544.79,0.8000196,Soft reminder
251,3015.04,0.25077075,Aggressive collection
252,3912.47,0.66771036,Standard follow-up
253,8526.25,0.6199292,Standard follow-up
254,3237.53,0.3085781,Standard follow-up
255,1777.98,0.70721483,Soft reminder
256,5612.33,0.20699891,Aggressive collection
257,9367.93,0.18974209,Aggressive collection
258,6990.69,0.81805027,Soft reminder
259,5743.61,0.60379225,Standard follow-up
260,1062.05,0.24652335,Aggressive collection
261,6188.57,0.5818692,Standard follow-up
262,9901.53,0.7947272,Soft reminder
263,1486.83,0.8020511,Soft reminder
264,5231.46,0.8232161,Soft reminder
265,8785.99,0.60260296,Standard follow-up
266,7433.61,0.13599467,Aggressive collection
267,7000.46,0.34588662,Standard follow-up
268,7054.59,0.64538896,Standard follow-up
269,3658.96,0.12747508,Aggressive collection
270,3006.56,0.5768223,Standard follow-up
271,8112.68,0.34197408,Standard follow-up
272,8120.12,0.36070502,Standard follow-up
273,8684.02,0.7221789,Soft reminder
274,9141.08,0.28265893,Aggressive collection
275,5162.29,0.74117386,Soft reminder
276,5065.01,0.6586663,Standard follow-up
277,8003.12,0.42945835,Standard follow-up
278,6534.64,0.6331191,Standard follow-up
279,7049.47,0.8189229,Soft reminder
280,7978.35,0.40921417,Standard follow-up
281,8911.05,0.34466526,Standard follow-up
282,3446.15,0.31251162,Standard follow-up
283,3818.27,0.42436564,Standard follow-up
284,1030.42,0.8526029,Soft reminder
285,5824.97,0.6314741,Standard follow-up
286,455.83,0.8050358,Soft reminder
287,4709.42,0.25375533,Aggressive collection
288,5472.18,0.82575905,Soft reminder
289,2936.76,0.735602,Soft reminder
290,5949.25,0.8422833,Soft reminder
291,401.95,0.50388765,Standard follow-up
292,469.75,0.72792864,Soft reminder
293,8243.75,0.83277404,Soft reminder
294,3665.89,0.16900647,Aggressive collection
295,1357.9,0.4027135,Standard follow-up
296,5270.21,0.74650735,Soft reminder
297,7722.94,0.7065375,Soft reminder
298,2236.63,0.70046175,Soft reminder
299,6266.62,0.3400837,Standard follow-up
300,944.94,0.41376275,Standard follow-up
301,611.65,0.14705426,Aggressive collection
302,5360.41,0.16154075,Aggressive collection
303,5452.29,0.21141432,Aggressive collection
304,6410.56,0.7178544,Soft reminder
305,7288.3,0.6810019,Standard follow-up
306,9760.94,0.12639248,Aggressive collection
307,5211.37,0.3421274,Standard follow-up
308,3297.27,0.17402928,Aggressive collection
309,7972.34,0.756021,Soft reminder
310,2781.24,0.81325245,Soft reminder
311,4445.82,0.6551083,Standard follow-up
312,876.72,0.38221914,Standard follow-up
313,350.97,0.6280679,Standard follow-up
314,9630.22,0.6784738,Standard follow-up
315,8376.2,0.6977473,Standard follow-up
316,6990.14,0.5300803,Standard follow-up
317,4148.63,0.63283616,Standard follow-up
318,1815.61,0.50287926,Standard follow-up
319,1648.73,0.4300205,Standard follow-up
320,2577.4,0.107493415,Aggressive collection
321,5537.34,0.1675679,Aggressive collection
322,7174.5,0.4520024,Standard follow-up
323,6635.95,0.24493064,Aggressive collection
324,2871.35,0.56898457,Standard follow-up
325,9553.17,0.739589,Soft reminder
326,7405.18,0.20403367,Aggressive collection
327,5588.11,0.37027976,Standard follow-up
328,6156.04,0.88078225,Soft reminder
329,4254.04,0.77514374,Soft reminder
330,2552.54,0.7901657,Soft reminder
331,3624.13,0.4806746,Standard follow-up
332,7602.68,0.79934657,Soft reminder
333,242.5,0.8173913,Soft reminder
334,1249.12,0.46396706,Standard follow-up
335,555.43,0.42748204,Standard follow-up
336,503.22,0.58796656,Standard follow-up
337,8569.06,0.119917154,Aggressive collection
338,7066.21,0.34920833,Standard follow-up
339,4794.32,0.7508956,Soft reminder
340,1068.56,0.31525517,Standard follow-up
341,4967.0,0.361726,Standard follow-up
342,4787.37,0.70490485,Soft reminder
343,1814.7,0.14101472,Aggressive collection
344,4395.13,0.3800916,Standard follow-up
345,4045.2,0.548173,Standard follow-up
346,6196.92,0.8202111,Soft reminder
347,6387.43,0.2874208,Aggressive collection
348,548.51,0.51132315,Standard follow-up
349,3808.66,0.2864869,Aggressive collection
350,6296.01,0.28449312,Aggressive collection
351,5081.05,0.87251955,Soft reminder
352,8579.25,0.15511696,Aggressive collection
353,6621.07,0.64502525,Standard follow-up
354,1713.05,0.8299483,Soft reminder
355,798.63,0.16226089,Aggressive collection
356,6459.95,0.35794467,Standard follow-up
357,362.46,0.92187446,Soft reminder
358,5899.18,0.31964186,Standard follow-up
359,9408.28,0.08467098,Aggressive collection
360,5797.19,0.77787375,Soft reminder
361,3942.88,0.5481951,Standard follow-up
362,6468.55,0.7502071,Soft reminder
363,4636.7,0.18998842,Aggressive collection
364,5501.61,0.8395413,Soft reminder
365,9420.5,0.78531384,Soft reminder
366,3922.42,0.6391869,Standard follow-up
367,9615.79,0.12101528,Aggressive collection
368,9062.97,0.5404726,Standard follow-up
369,2038.33,0.6644504,Standard follow-up
370,786.68,0.28881437,Aggressive collection
371,1097.7,0.09067956,Aggressive collection
372,280.4,0.11184548,Aggressive collection
373,1034.99,0.82688993,Soft reminder
374,6861.77,0.57632196,Standard follow-up
375,804.77,0.78164726,Soft reminder
376,3257.86,0.59878963,Standard follow-up
377,8464.27,0.06970411,Aggressive collection
378,330.39,0.29841334,Aggressive collection
379,8163.24,0.31923935,Standard follow-up
380,2890.36,0.6484716,Standard follow-up
381,1269.83,0.91646296,Soft reminder
382,6997.7,0.69997686,Standard follow-up
383,6326.53,0.50902915,Standard follow-up
384,8786.97,0.41809002,Standard follow-up
385,7377.2,0.6339232,Standard follow-up
386,8054.46,0.5796261,Standard follow-up
387,2892.14,0.39114752,Standard follow-up
388,1856.65,0.79210985,Soft reminder
389,7531.09,0.5390525,Standard follow-up
390,8087.66,0.36105907,Standard follow-up
391,9906.0,0.21245453,Aggressive collection
392,4184.92,0.52068293,Standard follow-up
393,3782.98,0.6135008,Standard follow-up
394,7786.49,0.844994,Soft reminder
395,3473.96,0.54290473,Standard follow-up
396,9314.5,0.670325,Standard follow-up
397,8598.29,0.8039859,Soft reminder
398,4347.04,0.3437498,Standard follow-up
399,7533.62,0.30796424,Standard follow-up
400,7569.97,0.91640484,Soft reminder
401,1120.93,0.09771927,Aggressive collection
402,9035.27,0.24003427,Aggressive collection
403,5102.0,0.36055467,Standard follow-up
404,8281.93,0.53900456,Standard follow-up
405,3268.49,0.32965857,Standard follow-up
406,8965.68,0.78513247,Soft reminder
407,3953.1,0.6984312,Standard follow-up
408,207.29,0.9664302,Soft reminder
409,9063.28,0.45153636,Standard follow-up
410,1003.74,0.6137236,Standard follow-up
411,3261.21,0.33032545,Standard follow-up
412,9505.61,0.38890105,Standard follow-up
413,9511.01,0.23537065,Aggressive collection
414,5777.04,0.53613335,Standard follow-up
415,6355.19,0.29063946,Aggressive collection
416,4539.61,0.7339817,Soft reminder
417,3002.79,0.19711138,Aggressive collection
418,3353.78,0.06730317,Aggressive collection
419,6757.93,0.86499995,Soft reminder
420,7548.51,0.5927647,Standard follow-up
421,7936.63,0.42438114,Standard follow-up
422,7917.22,0.25801632,Aggressive collection
423,1002.94,0.14376675,Aggressive collection
424,4994.76,0.7573806,Soft reminder
425,669.83,0.095274,Aggressive collection
426,5540.34,0.30658823,Standard follow-up
427,4471.15,0.44120157,Standard follow-up
428,8888.27,0.46314058,Standard follow-up
429,3574.06,0.7049459,Soft reminder
430,1258.96,0.759537,Soft reminder
431,1515.62,0.24002834,Aggressive collection
432,7638.96,0.26340038,Aggressive collection
433,6220.36,0.88956165,Soft reminder
434,1101.11,0.18036227,Aggressive collection
435,932.66,0.84571123,Soft reminder
436,7039.59,0.4918176,Standard follow-up
437,820.35,0.12308643,Aggressive collection
438,8236.41,0.62302417,Standard follow-up
439,7091.8,0.34462976,Standard follow-up
440,905.35,0.41481894,Standard follow-up
441,939.89,0.5962024,Standard follow-up
442,9867.73,0.7752784,Soft reminder
443,3805.28,0.3048076,Standard follow-up
444,3769.36,0.53361547,Standard follow-up
445,8146.72,0.19699578,Aggressive collection
446,9477.76,0.24146299,Aggressive collection
447,9861.41,0.1560659,Aggressive collection
448,7558.44,0.15184075,Aggressive collection
449,3824.97,0.15102597,Aggressive collection
450,926.66,0.9100403,Soft reminder
451,7793.75,0.5408655,Standard follow-up
452,5628.2,0.7859996,Soft reminder
453,4299.8,0.8407527,Soft reminder
454,9072.91,0.4087689,Standard follow-up
455,1200.86,0.1794991,Aggressive collection
456,4976.99,0.29365686,Aggressive collection
457,212.4,0.05299942,Aggressive collection
458,4739.74,0.3342547,Standard follow-up
459,657.4,0.8661923,Soft reminder
460,1276.3,0.25857532,Aggressive collection
461,1263.51,0.55129325,Standard follow-up
462,6527.18,0.5708456,Standard follow-up
463,7485.84,0.40843612,Standard follow-up
464,5875.35,0.22114336,Aggressive collection
465,9625.51,0.66724455,Standard follow-up
466,3811.22,0.30465275,Standard follow-up
467,2928.55,0.29916853,Aggressive collection
468,8699.13,0.2805007,Aggressive collection
469,2313.6,0.7114744,Soft reminder
470,9635.9,0.24590845,Aggressive collection
471,220.33,0.86739695,Soft reminder
472,9701.8,0.20660086,Aggressive collection
473,527.28,0.8247503,Soft reminder
474,8922.32,0.31629902,Standard follow-up
475,5324.24,0.04851648,Aggressive collection
476,9930.35,0.8497621,Soft reminder
477,830.59,0.12684512,Aggressive collection
478,5583.16,0.114167206,Aggressive collection
479,9696.1,0.19757879,Aggressive collection
480,5278.67,0.3336699,Standard follow-up
481,6331.05,0.8217633,Soft reminder
482,6987.91,0.48887226,Standard follow-up
483,4599.96,0.29549944,Aggressive collection
484,6312.82,0.35165694,Standard follow-up
485,5884.71,0.38791165,Standard follow-up
486,9021.46,0.06497699,Aggressive collection
487,549.92,0.86321574,Soft reminder
488,2881.54,0.6628214,Standard follow-up
489,9509.07,0.3334531,Standard follow-up
490,8913.61,0.57800233,Standard follow-up
491,4611.0,0.2943207,Aggressive collection
492,6239.31,0.47405887,Standard follow-up
493,2846.07,0.36327556,Standard follow-up
494,1962.4,0.3214478,Standard follow-up
495,4690.61,0.9061284,Soft reminder
496,3598.19,0.26359668,Aggressive collection
497,5878.2,0.57579947,Standard follow-up
498,869.57,0.19955394,Aggressive collection
499,9746.51,0.18050477,Aggressive collection
500,9863.49,0.13884644,Aggressive collection
501,7011.8,0.27133805,Aggressive collection
502,5407.35,0.3810261,Standard follow-up
503,3164.32,0.627573,Standard follow-up
504,8156.57,0.27956766,Aggressive collection
505,6878.84,0.2802219,Aggressive collection
506,1709.91,0.80172443,Soft reminder
507,9118.18,0.6830128,Standard follow-up
508,8243.12,0.63726556,Standard follow-up
509,9503.02,0.16816321,Aggressive collection
510,7284.62,0.42254016,Standard follow-up
511,6172.81,0.4468074,Standard follow-up
512,4240.61,0.5220225,Standard follow-up
513,9334.01,0.65028614,Standard follow-up
514,8674.03,0.3988267,Standard follow-up
515,547.66,0.4086824,Standard follow-up
516,361.03,0.024503099,Aggressive collection
517,3826.99,0.705955,Soft reminder
518,8124.48,0.22717702,Aggressive collection
519,9874.03,0.5436816,Standard follow-up
520,1589.13,0.1520849,Aggressive collection
521,5981.89,0.8963946,Soft reminder
522,3870.82,0.6312636,Standard follow-up
523,9702.15,0.9081276,Soft reminder
524,8436.98,0.24858803,Aggressive collection
525,8399.45,0.4572894,Standard follow-up
526,4740.06,0.3337087,Standard follow-up
527,4206.71,0.33104396,Standard follow-up
528,2806.73,0.5565263,Standard follow-up
529,658.12,0.87635505,Soft reminder
530,8660.75,0.38929015,Standard follow-up
531,8147.72,0.27101818,Aggressive collection
532,9997.2,0.17878829,Aggressive collection
533,9966.7,0.50486463,Standard follow-up
534,5598.77,0.54082656,Standard follow-up
535,7712.98,0.22817765,Aggressive collection
536,9453.18,0.2509237,Aggressive collection
537,8511.51,0.8501058,Soft reminder
538,2548.75,0.16306318,Aggressive collection
539,4560.39,0.6957584,Standard follow-up
540,1378.68,0.30190352,Standard follow-up
541,9545.11,0.44795588,Standard follow-up
542,6101.13,0.15427239,Aggressive collection
543,2363.56,0.47463533,Standard follow-up
544,6749.84,0.26837248,Aggressive collection
545,6219.47,0.6409506,Standard follow-up
546,3645.81,0.57669044,Standard follow-up
547,1224.22,0.31958458,Standard follow-up
548,6748.57,0.8340513,Soft reminder
549,5251.05,0.5572156,Standard follow-up
550,7745.95,0.66866934,Standard follow-up
551,5249.62,0.31455553,Standard follow-up
552,8536.6,0.30682,Standard follow-up
553,5563.88,0.6525439,Standard follow-up
554,5653.29,0.57731414,Standard follow-up
555,8778.87,0.51339936,Standard follow-up
556,4094.48,0.8653507,Soft reminder
557,1426.75,0.6604213,Standard follow-up
558,384.95,0.7182111,Soft reminder
559,7575.86,0.67450196,Standard follow-up
560,6241.06,0.7283064,Soft reminder
561,7070.39,0.5800415,Standard follow-up
562,2208.35,0.70891297,Soft reminder
563,1450.08,0.594082,Standard follow-up
564,243.99,0.25231138,Aggressive collection
565,3570.82,0.63225996,Standard follow-up
566,5940.19,0.20510052,Aggressive collection
567,3983.22,0.75421333,Soft reminder
568,4431.0,0.21924834,Aggressive collection
569,9051.17,0.63633466,Standard follow-up
570,3547.73,0.25235257,Aggressive collection
571,5188.5,0.4501233,Standard follow-up
572,7858.16,0.3635021,Standard follow-up
573,4025.77,0.38903162,Standard follow-up
574,6258.66,0.69951844,Standard follow-up
575,8637.4,0.6767378,Standard follow-up
576,9500.25,0.6164774,Standard follow-up
577,1556.03,0.6603995,Standard follow-up
578,9273.22,0.82192165,Soft reminder
579,4971.95,0.11679311,Aggressive collection
580,2656.62,0.6714222,Standard follow-up
581,4645.44,0.9340919,Soft reminder
582,9802.32,0.8265029,Soft reminder
583,4976.92,0.9042198,Soft reminder
584,3354.64,0.66422015,Standard follow-up
585,6370.67,0.48729828,Standard follow-up
586,2477.44,0.24092905,Aggressive collection
587,851.05,0.39094636,Standard follow-up
588,1375.91,0.6500962,Standard follow-up
589,1367.65,0.8174922,Soft reminder
590,1603.84,0.77739227,Soft reminder
591,1474.39,0.54170895,Standard follow-up
592,6444.66,0.6058527,Standard follow-up
593,1900.61,0.6457997,Standard follow-up
594,3522.11,0.7179642,Soft reminder
595,8978.21,0.47196195,Standard follow-up
596,4792.22,0.5221928,Standard follow-up
597,6708.82,0.5640801,Standard follow-up
598,1805.97,0.49463242,Standard follow-up
599,2003.66,0.59934205,Standard follow-up
600,504.6,0.4476308,Standard follow-up
601,1772.46,0.5872575,Standard follow-up
602,2858.04,0.27674195,Aggressive collection
603,1852.4,0.3462562,Standard follow-up
604,978.16,0.65158236,Standard follow-up
605,1294.3,0.72756463,Soft reminder
606,4661.71,0.48289403,Standard follow-up
607,2142.7,0.27274892,Aggressive collection
608,3706.27,0.12564746,Aggressive collection
609,5083.83,0.4856839,Standard follow-up
610,6934.91,0.39191896,Standard follow-up
611,489.19,0.14483894,Aggressive collection
612,8014.16,0.5226858,Standard follow-up
613,6316.21,0.6637066,Standard follow-up
614,909.41,0.88875693,Soft reminder
615,8748.43,0.5129298,Standard follow-up
616,9216.64,0.64193356,Standard follow-up
617,704.67,0.31453937,Standard follow-up
618,2841.09,0.39139566,Standard follow-up
619,8081.39,0.70474213,Soft reminder
620,7507.77,0.13724583,Aggressive collection
621,1926.76,0.3096066,Standard follow-up
622,2172.56,0.89869654,Soft reminder
623,3767.67,0.35362247,Standard follow-up
624,4896.78,0.49000102,Standard follow-up
625,6220.72,0.3531116,Standard follow-up
626,3752.25,0.49892378,Standard follow-up
627,4679.09,0.4423645,Standard follow-up
628,7499.96,0.374959,Standard follow-up
629,463.16,0.24417174,Aggressive collection
630,2599.13,0.27341175,Aggressive collection
631,7162.16,0.34135538,Standard follow-up
632,8962.55,0.7751638,Soft reminder
633,5165.61,0.8634517,Soft reminder
634,5367.92,0.19598998,Aggressive collection
635,1161.0,0.5857535,Standard follow-up
636,4529.38,0.37270623,Standard follow-up
637,5372.91,0.6940952,Standard follow-up
638,2500.46,0.156066,Aggressive collection
639,2765.51,0.8126866,Soft reminder
640,3835.11,0.1478506,Aggressive collection
641,298.7,0.10568378,Aggressive collection
642,3288.58,0.37213555,Standard follow-up
643,2193.34,0.6381847,Standard follow-up
644,3342.22,0.29323572,Aggressive collection
645,1285.65,0.14263584,Aggressive collection
646,8916.22,0.13375314,Aggressive collection
647,5976.57,0.25145462,Aggressive collection
648,6823.11,0.28510493,Aggressive collection
649,7912.8,0.7239683,Soft reminder
650,5034.58,0.064561665,Aggressive collection
651,960.51,0.36931655,Standard follow-up
652,5417.35,0.2528095,Aggressive collection
653,5909.73,0.26264292,Aggressive collection
654,7479.85,0.34326127,Standard follow-up
655,4373.43,0.83821404,Soft reminder
656,1363.04,0.531018,Standard follow-up
657,2909.38,0.56138086,Standard follow-up
658,3694.51,0.9131031,Soft reminder
659,6494.58,0.47273543,Standard follow-up
660,5750.71,0.7428603,Soft reminder
661,3625.36,0.20654659,Aggressive collection
662,9866.5,0.8990115,Soft reminder
663,6097.17,0.2459903,Aggressive collection
664,2448.55,0.5218031,Standard follow-up
665,1107.65,0.89356047,Soft reminder
666,1613.31,0.6950421,Standard follow-up
667,2534.98,0.8033096,Soft reminder
668,1690.75,0.06827396,Aggressive collection
669,1947.01,0.5761843,Standard follow-up
670,2922.44,0.8437685,Soft reminder
671,1816.4,0.2133589,Aggressive collection
672,8977.98,0.2668884,Aggressive collection
673,894.31,0.40410554,Standard follow-up
674,5292.66,0.44870728,Standard follow-up
675,4162.93,0.7191889,Soft reminder
676,9825.55,0.92329144,Soft reminder
677,1209.19,0.16815059,Aggressive collection
